,County,Year,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Avg Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Rel Hum (%),Dew Point (F),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
0,Alameda,2018,132.60000000000014,40.310000000000095,437.5258799171843,11.453519668737059,99.3,19.9,57.5423395445135,100.0,9.0,69.96687370600414,47.29140786749482,3.950828157349891,94.79430641821942,61.80631469979295
1,Alameda,2019,141.8700000000001,57.87000000000009,430.44684854186266,11.761335841956715,101.6,26.8,57.89623706491065,100.0,9.0,70.88334901222954,47.97704609595478,3.985042333019755,95.64976481655702,60.73621825023519
2,Alameda,2020,116.03999999999988,24.829999999999973,494.15426251691474,11.9598105548038,108.8,28.3,59.092828146143376,100.0,8.0,69.36941813261164,48.47929634641408,4.134100135317997,99.18741542625169,62.526928281461416
3,Alpine,2019,33.82999999999998,5.56,460.73056994818654,5.764766839378233,92.0,4.6,50.38860103626944,99.0,9.0,46.461139896373055,28.563730569948163,7.091191709844557,170.1777202072538,51.31917098445599
4,Alpine,2020,47.240000000000016,7.599999999999998,494.196,5.687200000000001,95.5,2.6,51.297999999999966,99.0,7.0,44.064,28.673199999999994,7.627999999999998,183.08679999999993,50.794799999999974
5,Amador,2018,50.47999999999998,24.760000000000005,404.6190476190476,8.263025210084031,100.4,21.2,57.9204481792717,100.0,6.0,49.99439775910364,38.01092436974793,3.2131652661064396,77.04733893557425,62.01428571428572
6,Amador,2019,49.319999999999986,41.40999999999999,398.4194444444444,8.180833333333338,99.1,25.8,57.270277777777764,100.0,7.0,49.34722222222222,37.42000000000003,3.3913888888888897,81.33888888888883,61.765833333333276
7,Amador,2020,42.510000000000026,14.43,482.420233463035,9.17315175097277,106.2,25.3,60.81089494163421,99.0,10.0,48.552529182879375,40.43151750972764,3.129182879377434,75.13346303501947,63.505447470817096
8,Butte,2018,95.48000000000003,34.37000000000002,423.3391557496361,12.655895196506554,115.9,22.6,61.461572052401756,100.0,1.0,65.58951965065502,49.0049490538573,3.512227074235805,84.3213973799126,61.89650655021844
9,Butte,2019,98.34000000000007,56.600000000000016,424.3328729281768,12.621132596685092,103.9,26.7,60.62707182320437,100.0,1.0,67.6671270718232,49.05676795580114,3.685911602209949,88.41353591160222,61.37334254143648
10,Butte,2020,91.35,9.439999999999994,484.508896797153,14.02989323843416,109.7,28.5,64.73932384341644,100.0,8.0,64.3540925266904,51.72384341637011,3.5562277580071147,85.39145907473318,64.93914590747336
