,Name,County,County IDs,Latitude,Longitude,Started,Year,Acres Burned,Cal Fire Incident,Major Incident
478,Willow Fire,Calaveras,5,38.19,-120.64,2016-08-28 13:07:00+00:00,2016,450,TRUE,TRUE
552,Baker Fire,Calaveras,5,37.98,-120.64,2016-07-21 15:06:00+00:00,2016,57,TRUE,TRUE
1302,Vineyard Fire,San Luis Obispo,40,35.72,-120.64,2018-05-29 13:11:00+00:00,2018,25,TRUE,FALSE
121,Homestead Fire,San Luis Obispo,40,35.51,-120.64,2013-05-25 17:35:00+00:00,2013,50,TRUE,FALSE
1253,Reservoir Fire,San Luis Obispo,40,35.3,-120.64,2018-09-16 08:34:00+00:00,2018,51,TRUE,FALSE
3,American Fire,Placer,31,39.12,-120.65,2013-08-10 16:30:00+00:00,2013,27440,FALSE,FALSE
735,Creek Fire,Fresno,10,36.27,-120.65,2017-06-23 16:00:00+00:00,2017,357,TRUE,FALSE
826,Country Fire,Monterey,27,35.87,-120.65,2017-08-07 18:08:00+00:00,2017,82,TRUE,FALSE
802,Poly Fire,San Luis Obispo,40,35.3,-120.65,2017-09-26 15:30:00+00:00,2017,105,TRUE,FALSE
1111,North Fire,Placer,31,39.27,-120.66,2018-09-03 16:38:00+00:00,2018,1120,FALSE,TRUE
1337,Meyers Fire,El Dorado,9,38.74,-120.66,2018-09-20 12:39:00+00:00,2018,12,TRUE,TRUE
238,Oak Fire,Calaveras,5,38.06,-120.66,2014-06-22 12:37:00+00:00,2014,85,TRUE,TRUE
984,Willms Fire,Stanislaus,50,37.82,-120.66,2017-07-18 22:39:00+00:00,2017,19,TRUE,FALSE
791,Tumey Fire,Fresno,10,36.54,-120.66,2017-04-29 17:15:00+00:00,2017,126,TRUE,FALSE
1626,Electra Fire,Amador,3,38.33,-120.67,2019-09-25 13:13:41+00:00,2019,10,TRUE,TRUE
578,Stagecoach Fire,Calaveras,5,37.96,-120.67,2016-07-12 15:19:00+00:00,2016,35,TRUE,FALSE
1242,Vista Fire,San Luis Obispo,40,35.66,-120.67,2018-06-13 12:38:00+00:00,2018,60,TRUE,FALSE
1397,Walker Fire,Plumas,32,40.06,-120.68,2019-09-04 15:17:31+00:00,2019,54612,FALSE,FALSE
962,Gold Fire,Calaveras,5,38.2,-120.68,2017-07-05 16:56:00+00:00,2017,22,TRUE,FALSE
228,Reed Fire,Calaveras,5,38.18,-120.68,2014-06-20 15:27:00+00:00,2014,120,TRUE,FALSE
1214,Horse Fire,Calaveras,5,37.96,-120.69,2018-06-24 15:28:00+00:00,2018,80,TRUE,TRUE
847,Orange Fire,Stanislaus,50,37.83,-120.69,2017-06-21 14:45:00+00:00,2017,65,TRUE,FALSE
350,Ward Fire,Plumas,32,40.05,-120.7,2015-04-13 05:30:00+00:00,2015,137,TRUE,FALSE
416,Buckaroo Fire,El Dorado,9,38.65,-120.7,2015-07-02 17:10:00+00:00,2015,25,TRUE,FALSE
596,Aukum Fire,El Dorado,9,38.64,-120.7,2016-06-03 12:41:00+00:00,2016,25,TRUE,TRUE
264,Bible Fire,El Dorado,9,38.61,-120.7,2014-07-09 14:34:00+00:00,2014,30,TRUE,FALSE
782,Ranch Fire,El Dorado,9,38.56,-120.7,2017-07-26 13:58:00+00:00,2017,140,TRUE,TRUE
144,Chuckwagon Fire,Calaveras,5,37.97,-120.7,2013-07-22 12:34:00+00:00,2013,31,TRUE,FALSE
581,Frymire Fire,Tuolumne,55,37.81,-120.7,2016-07-30 17:25:00+00:00,2016,32,TRUE,FALSE
1170,Priest Fire,Monterey,27,36.18,-120.7,2018-10-13 14:43:00+00:00,2018,167,TRUE,FALSE
989,Panoche Fire,Fresno,10,36.61,-120.71,2017-05-28 16:16:00+00:00,2017,18,TRUE,FALSE
1152,Fox Fire,San Luis Obispo,40,35.34,-120.71,2018-06-26 11:16:00+00:00,2018,260,TRUE,FALSE
1326,Essex Fire,Modoc,25,41.52,-120.72,2018-09-02 14:53:00+00:00,2018,15,FALSE,FALSE
1025,Sandra Fire,Amador,3,38.34,-120.72,2017-08-28 17:06:00+00:00,2017,10,TRUE,FALSE
1270,Mustang Fire,San Luis Obispo,40,35.65,-120.72,2018-07-21 15:01:00+00:00,2018,37,TRUE,FALSE
1376,Cross Fire,Monterey,27,35.79,-120.73,2019-10-09 06:52:14+00:00,2019,289,TRUE,FALSE
1377,Cross Fire,San Luis Obispo,40,35.79,-120.73,2019-10-09 06:52:14+00:00,2019,289,TRUE,FALSE
1012,Woodland Fire,El Dorado,9,38.7,-120.74,2017-07-25 14:13:00+00:00,2017,13,TRUE,FALSE
715,W-2 Fire,Lassen,18,41.12,-120.75,2017-08-06 15:29:00+00:00,2017,530,FALSE,FALSE
667,Eureka Fire,Plumas,32,39.75,-120.75,2017-09-05 18:38:00+00:00,2017,2575,FALSE,FALSE
116,Toro Fire,San Luis Obispo,40,35.46,-120.75,2013-11-08 10:30:00+00:00,2013,51,TRUE,TRUE
34,Plumas Lightning Complex (Hough),Plumas,32,40.01,-120.76,2013-08-18 18:30:00+00:00,2013,513,FALSE,FALSE
1539,Sugar Fire,Placer,31,39.12,-120.76,2019-05-10 14:14:00+00:00,2019,65,FALSE,FALSE
1617,Carson Fire,El Dorado,9,38.76,-120.76,2019-07-30 19:27:46+00:00,2019,13,TRUE,FALSE
1104,Yankee Fire,San Luis Obispo,40,35.74,-120.76,2018-06-20 18:22:00+00:00,2018,1500,FALSE,FALSE
750,Camp Fire,San Luis Obispo,40,35.35,-120.76,2017-05-18 08:48:00+00:00,2017,225,TRUE,FALSE
1100,Nees Fire,Merced,24,36.85,-120.77,2018-05-02 16:00:00+00:00,2018,1756,TRUE,FALSE
706,Yankee Fire,San Luis Obispo,40,35.79,-120.77,2017-08-11 16:06:00+00:00,2017,775,TRUE,FALSE
458,Willard Fire,Lassen,18,40.39,-120.78,2016-09-11 11:33:00+00:00,2016,2575,TRUE,TRUE
182,Sand Fire,Amador,3,38.57,-120.78,2014-07-25 16:34:00+00:00,2014,4240,TRUE,TRUE
183,Sand Fire,El Dorado,9,38.57,-120.78,2014-07-25 16:34:00+00:00,2014,4240,TRUE,TRUE
1387,Whiskey Fire,Calaveras,5,38.12,-120.78,2019-07-18 18:31:00+00:00,2019,27,TRUE,FALSE
190,Modoc Lightning Complex,Modoc,25,41.89,-120.79,2014-07-01 19:00:00+00:00,2014,1651,FALSE,FALSE
1052,Range Fire,San Luis Obispo,40,35.85,-120.8,2017-05-19 13:10:00+00:00,2017,0,FALSE,FALSE
485,Pacheco Fire,Calaveras,5,38.08,-120.81,2016-07-12 13:14:00+00:00,2016,341,TRUE,FALSE
1477,Sargent Fire,Monterey,27,35.95,-120.81,2019-07-09 21:43:36+00:00,2019,190,TRUE,FALSE
526,Bradley Fire,Monterey,27,35.85,-120.81,2016-07-22 15:15:00+00:00,2016,100,TRUE,FALSE
1171,Roxie Fire (Formerly 1-1 Fire),Lassen,18,40.35,-120.82,2018-07-24 16:02:00+00:00,2018,167,TRUE,TRUE
1191,Idria Fire,San Benito,35,36.59,-120.82,2018-07-12 12:57:00+00:00,2018,116,TRUE,FALSE
1121,Gulch Fire,Monterey,27,36.01,-120.82,2018-08-11 14:12:00+00:00,2018,650,TRUE,FALSE
534,Frazier Fire,San Luis Obispo,40,35.71,-120.82,2016-06-27 12:07:00+00:00,2016,86,TRUE,FALSE
1568,Patterson Fire,El Dorado,9,38.65,-120.83,2019-08-15 17:47:43+00:00,2019,35,TRUE,FALSE
1004,Lombardi Fire,Calaveras,5,38.2,-120.83,2017-05-28 15:30:00+00:00,2017,15,TRUE,FALSE
1537,Lynette Fire,Calaveras,5,38.2,-120.83,2019-09-22 18:25:56+00:00,2019,67,TRUE,FALSE
98,Adelaida Fire,San Luis Obispo,40,35.63,-120.83,2013-07-07 13:16:00+00:00,2013,85,TRUE,FALSE
82,Union Fire,El Dorado,9,38.68,-120.84,2013-08-16 13:55:00+00:00,2013,116,TRUE,TRUE
562,Bell Fire,Amador,3,38.52,-120.84,2016-09-23 13:12:00+00:00,2016,45,TRUE,TRUE
1469,Milton Fire ,Stanislaus,50,37.94,-120.84,2019-07-15 10:49:00+00:00,2019,202,TRUE,FALSE
1481,Antelope Fire,San Benito,35,36.6,-120.84,2019-09-02 15:40:37+00:00,2019,167,TRUE,FALSE
528,Mercury Fire,San Benito,35,36.58,-120.84,2016-07-09 12:43:00+00:00,2016,95,TRUE,FALSE
94,Creek Fire,San Luis Obispo,40,35.44,-120.84,2013-09-24 03:20:00+00:00,2013,94,TRUE,FALSE
137,Empire Fire,El Dorado,9,38.9,-120.85,2013-08-24 14:54:00+00:00,2013,38,TRUE,FALSE
855,Quail Fire,Calaveras,5,38.18,-120.85,2017-07-12 13:10:00+00:00,2017,59,TRUE,TRUE
1011,Milton Fire,Stanislaus,50,37.9,-120.85,2017-10-18 12:53:00+00:00,2017,13,TRUE,FALSE
1158,Beaver Fire,San Benito,35,36.38,-120.86,2018-06-12 15:06:00+00:00,2018,215,TRUE,FALSE
1131,San Ardo,Monterey,27,35.96,-120.86,2018-06-26 07:11:00+00:00,2018,375,TRUE,FALSE
1076,Whaleback Fire,Lassen,18,40.63,-120.87,2018-07-27 13:32:00+00:00,2018,18703,TRUE,FALSE
1226,Bumper Fire,El Dorado,9,38.65,-120.87,2018-08-01 13:57:00+00:00,2018,67,TRUE,TRUE
590,Deer Fire,Amador,3,38.26,-120.87,2016-08-05 13:49:00+00:00,2016,26,TRUE,TRUE
579,Campo Fire,Calaveras,5,38.22,-120.87,2016-06-27 18:00:00+00:00,2016,33,TRUE,FALSE
1144,South Fire,Calaveras,5,38.06,-120.87,2018-08-06 16:26:00+00:00,2018,290,TRUE,FALSE
990,Pine Fire,Monterey,27,36.17,-120.87,2017-05-16 16:10:00+00:00,2017,18,TRUE,FALSE
1003,Alvarado Fire,Monterey,27,35.95,-120.87,2017-06-28 09:30:00+00:00,2017,15,TRUE,FALSE
300,Lowell Fire,Nevada,29,39.19,-120.88,2015-07-25 14:37:00+00:00,2015,2304,TRUE,TRUE
892,Pine Fire,Monterey,27,36.17,-120.88,2017-09-11 15:11:00+00:00,2017,43,TRUE,FALSE
1563,Ardo Fire,Monterey,27,35.97,-120.88,2019-06-12 17:23:00+00:00,2019,43,TRUE,FALSE
1613,Greenstone Fire ,El Dorado,9,38.7,-120.89,2019-08-14 16:07:49+00:00,2019,16,TRUE,FALSE
1320,China Fire,Amador,3,38.27,-120.89,2018-06-17 13:58:00+00:00,2018,17,TRUE,FALSE
677,Wright Fire,Merced,24,36.97,-120.89,2017-05-12 15:30:00+00:00,2017,1800,TRUE,FALSE
192,Gulch Fire,Modoc,25,41.49,-120.9,2014-07-03 15:46:00+00:00,2014,1469,TRUE,TRUE
760,Toll Fire,Plumas,32,39.99,-120.9,2017-08-20 16:26:00+00:00,2017,186,FALSE,FALSE
498,Camanche Fire,Amador,3,38.27,-120.9,2016-06-17 14:54:00+00:00,2016,210,TRUE,TRUE
46,Shelton Fire,San Joaquin,39,38.05,-120.9,2013-05-30 11:20:00+00:00,2013,303,TRUE,FALSE
880,Power Fire,Madera,20,36.95,-120.9,2017-09-20 21:07:00+00:00,2017,48,TRUE,FALSE
1126,Eastern Fire,San Benito,35,36.38,-120.9,2018-06-04 17:30:00+00:00,2018,513,TRUE,TRUE
85,Freeman Fire,Monterey,27,36.15,-120.9,2013-06-29 14:09:00+00:00,2013,105,TRUE,FALSE
482,Howard Fire,Modoc,25,41.47,-120.91,2016-09-11 14:15:00+00:00,2016,380,TRUE,FALSE
141,Cottontail Fire,San Luis Obispo,40,35.5,-120.91,2013-05-20 15:45:00+00:00,2013,35,TRUE,FALSE
829,Mills File,Plumas,32,40.13,-120.92,2017-09-03 20:32:00+00:00,2017,79,TRUE,FALSE
783,French Fire,El Dorado,9,38.58,-120.92,2017-09-17 15:18:00+00:00,2017,136,TRUE,TRUE
920,Latrobe Fire,Sacramento,34,38.46,-120.92,2017-06-27 07:39:00+00:00,2017,35,TRUE,FALSE
979,Nacimiento Fire,Monterey,27,35.77,-120.92,2017-05-14 12:00:00+00:00,2017,20,TRUE,FALSE
1343,Resort Fire,San Luis Obispo,40,35.76,-120.92,2018-06-03 16:11:00+00:00,2018,12,TRUE,FALSE
1250,Copper Fire,Lassen,18,40.34,-120.93,2018-09-22 14:41:00+00:00,2018,53,TRUE,FALSE
1181,Sliger Fire,El Dorado,9,38.94,-120.93,2018-09-04 15:03:00+00:00,2018,150,TRUE,TRUE
554,Lowe Fire,Monterey,27,36.19,-120.93,2016-06-23 17:57:00+00:00,2016,52,TRUE,FALSE
933,Shore Fire,Monterey,27,35.9,-120.93,2017-06-16 15:49:00+00:00,2017,32,TRUE,TRUE
444,Trailhead Fire,El Dorado,9,38.97,-120.94,2016-06-28 13:55:00+00:00,2016,5646,TRUE,TRUE
445,Trailhead Fire,Placer,31,38.97,-120.94,2016-06-28 13:55:00+00:00,2016,5646,TRUE,TRUE
43,Tres Pinos Fire,San Benito,35,37.16,-120.94,2013-05-03 11:42:00+00:00,2013,354,TRUE,FALSE
995,Lonoak Fire,Monterey,27,36.28,-120.94,2017-05-17 15:18:00+00:00,2017,17,TRUE,TRUE
1001,Greenhorn Fire,Nevada,29,39.17,-120.95,2017-07-27 14:49:00+00:00,2017,15,TRUE,FALSE
1518,Country Fire,El Dorado,9,38.9,-120.95,2019-09-03 14:57:31+00:00,2019,85,TRUE,TRUE
1117,Irish Fire,Amador,3,38.43,-120.95,2018-07-06 14:42:00+00:00,2018,825,TRUE,TRUE
1079,Waverly Fire,San Joaquin,39,38.05,-120.95,2018-06-29 15:11:00+00:00,2018,12300,TRUE,FALSE
1562,Flood Fire ,San Joaquin,39,38.02,-120.95,2019-09-05 14:33:01+00:00,2019,44,TRUE,FALSE
1411,Lonoak Fire,Monterey,27,36.28,-120.95,2019-06-26 09:18:22+00:00,2019,2546,TRUE,FALSE
1294,Rock Fire,San Luis Obispo,40,35.69,-120.95,2018-07-21 15:50:00+00:00,2018,30,TRUE,FALSE
111,Rail Fire,Modoc,25,41.57,-120.96,2013-09-07 17:30:00+00:00,2013,68,FALSE,FALSE
92,Coyote Fire,Lassen,18,40.89,-120.96,2013-08-09 15:51:00+00:00,2013,97,TRUE,FALSE
1047,Antelope Fire,Lassen,18,40.64,-120.96,2017-07-06 13:00:00+00:00,2017,0,FALSE,FALSE
836,Axel Fire,El Dorado,9,38.78,-120.97,2017-07-08 16:38:00+00:00,2017,74,TRUE,TRUE
1390,Chaparral Fire,El Dorado,9,38.54,-120.97,2019-09-29 21:44:45+00:00,2019,22,TRUE,FALSE
93,Roadrunner Fire,Amador,3,38.28,-120.97,2013-06-12 16:43:00+00:00,2013,96,TRUE,FALSE
838,Lynch Fire,San Luis Obispo,40,35.79,-120.97,2017-10-13 12:14:00+00:00,2017,73,TRUE,FALSE
1330,Camp Fire,San Luis Obispo,40,35.7,-120.97,2018-07-17 11:13:00+00:00,2018,14,TRUE,FALSE
660,Minerva Fire,Plumas,32,39.9,-120.98,2017-07-29 18:55:00+00:00,2017,4310,FALSE,FALSE
1027,Grizzly Fire,Nevada,29,39.37,-120.98,2017-07-21 16:50:00+00:00,2017,10,TRUE,FALSE
1447,Lake Fire,Monterey,27,35.91,-120.98,2019-07-29 15:43:48+00:00,2019,316,TRUE,FALSE
934,Pleyto Fire,Monterey,27,35.9,-120.98,2017-06-11 18:12:00+00:00,2017,32,TRUE,FALSE
433,Chimney Fire,San Luis Obispo,40,35.71,-120.98,2016-08-13 16:03:00+00:00,2016,46344,TRUE,TRUE
1107,Airline Fire,San Benito,35,36.41,-120.99,2018-06-04 17:01:00+00:00,2018,1314,TRUE,TRUE
1538,Jolon Fire,Monterey,27,35.91,-120.99,2019-09-01 16:35:55+00:00,2019,66,TRUE,FALSE
376,Olive Fire,Butte,4,39.63,-121.0,2015-09-02 13:18:00+00:00,2015,72,TRUE,TRUE
1632,Long Fire,Nevada,29,39.41,-121.0,2019-06-28 15:03:04+00:00,2019,2,TRUE,FALSE
218,Dog Bar Fire,Nevada,29,39.11,-121.0,2014-09-13 14:07:00+00:00,2014,247,TRUE,TRUE
205,Applegate Fire,Placer,31,39,-121,2014-10-08 13:33:00+00:00,2014,459,TRUE,TRUE
557,Storksbill Fire,El Dorado,9,38.8,-121.0,2016-07-22 13:15:00+00:00,2016,50,TRUE,TRUE
483,Rancho Fire,Amador,3,38.38,-121.0,2016-06-28 19:02:00+00:00,2016,372,TRUE,FALSE
523,Bailey Fire,Santa Clara,43,37.2,-121,2016-08-17 15:19:00+00:00,2016,100,TRUE,FALSE
882,Bitterwater Fire,San Benito,35,36.38,-121.0,2017-11-25 16:46:00+00:00,2017,47,TRUE,FALSE
969,Bitterwater Fire,San Benito,35,36.36,-121.0,2017-05-22 04:50:00+00:00,2017,21,TRUE,FALSE
79,152 Fire,Merced,24,37.04,-121.01,2013-06-04 15:42:00+00:00,2013,124,TRUE,FALSE
1211,Plaza Fire,Merced,24,37.06,-121.02,2018-05-20 13:07:00+00:00,2018,88,TRUE,FALSE
257,Interlake Fire,San Luis Obispo,40,35.82,-121.02,2014-07-07 16:12:00+00:00,2014,47,TRUE,FALSE
366,Deer Fire,San Luis Obispo,40,35.72,-121.02,2015-07-10 12:41:00+00:00,2015,95,TRUE,TRUE
36,Fox Fire (formally 3-7 Fire),Modoc,25,41.24,-121.03,2013-07-03 22:56:00+00:00,2013,502,TRUE,FALSE
381,Dixie Fire,Lassen,18,40.88,-121.03,2015-06-19 16:15:00+00:00,2015,60,TRUE,FALSE
1229,Panoche Fire,San Benito,35,36.65,-121.03,2018-06-04 23:17:00+00:00,2018,64,TRUE,FALSE
1072,Stone Fire,Modoc,25,41.39,-121.04,2018-08-15 18:05:00+00:00,2018,39387,FALSE,FALSE
1228,Omega Fire,El Dorado,9,38.82,-121.04,2018-08-01 14:40:00+00:00,2018,66,TRUE,TRUE
747,Largo Fire,El Dorado,9,38.54,-121.04,2017-07-30 01:45:00+00:00,2017,236,TRUE,FALSE
597,Bryson Fire,Monterey,27,35.84,-121.04,2016-05-12 14:13:00+00:00,2016,25,TRUE,FALSE
953,Cove Fire,San Luis Obispo,40,35.76,-121.04,2017-09-23 15:40:00+00:00,2017,25,TRUE,FALSE
1147,Panoche Fire,San Benito,35,36.65,-121.05,2018-07-11 16:40:00+00:00,2018,278,TRUE,FALSE
539,Old Fire,San Benito,35,36.5,-121.05,2016-06-12 12:45:00+00:00,2016,83,TRUE,FALSE
1403,Lone Fire,Modoc,25,41.75,-121.06,2019-09-06 11:34:27+00:00,2019,5737,FALSE,FALSE
1287,3-18 Fire,Lassen,18,41.09,-121.06,2018-07-15 16:45:00+00:00,2018,32,TRUE,FALSE
560,Auburn Fire,Nevada,29,39.2,-121.06,2016-09-17 13:40:00+00:00,2016,47,TRUE,FALSE
1013,Rosado Fire,El Dorado,9,38.67,-121.06,2017-07-12 13:51:00+00:00,2017,13,TRUE,FALSE
1139,Shingle Fire,El Dorado,9,38.54,-121.06,2018-07-04 17:09:00+00:00,2018,316,TRUE,FALSE
582,Clay Fire,Sacramento,34,38.31,-121.06,2016-06-03 16:57:00+00:00,2016,32,TRUE,FALSE
1322,Oak Fire,Nevada,29,39.1,-121.07,2018-08-12 14:20:00+00:00,2018,16,TRUE,FALSE
1032,Brewer Fire,Nevada,29,39.08,-121.07,2017-07-02 12:41:00+00:00,2017,10,TRUE,FALSE
325,Forebay Fire,Merced,24,37.08,-121.07,2015-05-11 10:26:00+00:00,2015,275,TRUE,FALSE
833,McCourtney Fire (Wind Complex),Nevada,29,39.19,-121.08,2017-10-09 00:00:00+00:00,2017,76,TRUE,TRUE
66,50 Fire,El Dorado,9,38.64,-121.08,2013-07-19 14:12:00+00:00,2013,163,TRUE,FALSE
67,50 Fire,Sacramento,34,38.64,-121.08,2013-07-19 14:12:00+00:00,2013,163,TRUE,FALSE
587,Taglio Fire,Merced,24,37.22,-121.08,2016-04-24 11:10:00+00:00,2016,30,TRUE,FALSE
1019,Taglio Fire,Merced,24,37.22,-121.08,1969-12-31 16:00:00+00:00,2017,12,TRUE,FALSE
1237,Liberty Fire,San Joaquin,39,38.24,-121.09,2018-06-11 12:16:00+00:00,2018,62,TRUE,FALSE
1435,Stuhr Fire,Stanislaus,50,37.26,-121.09,2019-06-07 16:55:00+00:00,2019,600,TRUE,FALSE
1225,Romero Fire,Merced,24,37.09,-121.09,2018-06-24 16:11:00+00:00,2018,68,TRUE,FALSE
893,Lockwood Fire,Monterey,27,35.96,-121.09,2017-06-29 20:44:00+00:00,2017,42,TRUE,FALSE
371,3-12 Fire,Modoc,25,40.86,-121.1,2015-07-23 17:30:00+00:00,2015,77,TRUE,FALSE
690,Latrobe Fire,Sacramento,34,38.52,-121.1,2017-07-26 14:45:00+00:00,2017,1286,TRUE,FALSE
533,Scott Fire,Sacramento,34,38.52,-121.1,2016-07-10 15:30:00+00:00,2016,87,TRUE,FALSE
115,Tyler Fire,Nevada,29,39.33,-121.11,2013-08-31 14:42:00+00:00,2013,52,TRUE,FALSE
1554,Prairie Fire ,Sacramento,34,38.62,-121.11,2019-08-02 14:45:00+00:00,2019,50,TRUE,FALSE
845,Clay Fire,Sacramento,34,38.34,-121.11,2017-06-01 15:38:00+00:00,2017,68,TRUE,FALSE
1234,Stuhr Fire,Stanislaus,50,37.33,-121.11,2018-05-29 12:58:00+00:00,2018,63,TRUE,FALSE
1476,Stuhr Fire ,Stanislaus,50,37.33,-121.11,2019-09-11 11:25:43+00:00,2019,190,TRUE,FALSE
730,Pleasant Fire,Nevada,29,39.34,-121.12,2017-08-30 15:38:00+00:00,2017,392,TRUE,TRUE
1519,Browns Fire,Sacramento,34,38.35,-121.12,2019-08-02 09:23:00+00:00,2019,84,TRUE,FALSE
245,San Lucas Fire,Monterey,27,36.1,-121.12,2014-04-30 14:25:00+00:00,2014,75,TRUE,FALSE
1205,Sam Fire,Monterey,27,35.94,-121.12,2018-06-09 15:31:00+00:00,2018,96,FALSE,FALSE
704,Lobo Fire (Wind Complex),Nevada,29,39.25,-121.13,2017-10-09 00:01:00+00:00,2017,821,TRUE,TRUE
568,Boys Fire,Sacramento,34,38.56,-121.13,2016-09-11 11:25:00+00:00,2016,40,TRUE,FALSE
981,Garden Fire,Nevada,29,39.06,-121.14,2017-10-10 12:30:00+00:00,2017,19,TRUE,FALSE
384,North Fire,Amador,3,38.26,-121.14,2015-06-16 16:42:00+00:00,2015,60,TRUE,FALSE
412,Baxter Fire,Placer,31,38.94,-121.15,2015-07-22 18:17:00+00:00,2015,26,TRUE,FALSE
1130,Metz Fire,Monterey,27,36.36,-121.16,2018-09-13 15:37:00+00:00,2018,400,TRUE,FALSE
354,3-11 Fire,Modoc,25,41.29,-121.17,2015-07-23 16:40:00+00:00,2015,116,TRUE,FALSE
1295,Grant Fire,Sacramento,34,38.6,-121.18,2018-06-29 15:46:00+00:00,2018,30,TRUE,FALSE
1165,Dinosaur Fire,Merced,24,37.06,-121.18,2018-06-17 15:09:00+00:00,2018,185,TRUE,FALSE
409,Kramer Fire ,Lassen,18,41.12,-121.19,2015-08-29 16:06:00+00:00,2015,30,TRUE,FALSE
410,Francis Fire,Yuba,58,39.33,-121.19,2015-08-03 18:07:00+00:00,2015,30,TRUE,FALSE
408,McCourtney Fire,Nevada,29,39.08,-121.19,2015-09-22 07:00:00+00:00,2015,30,TRUE,FALSE
72,Diablo Fire,Stanislaus,50,37.44,-121.2,2013-07-12 15:35:00+00:00,2013,150,TRUE,FALSE
401,Sullivan Fire,Stanislaus,50,37.25,-121.2,2015-07-28 12:10:00+00:00,2015,40,TRUE,FALSE
466,Dinosaur Fire,Merced,24,37.07,-121.2,2016-06-25 23:45:00+00:00,2016,1246,TRUE,FALSE
452,Metz Fire,Monterey,27,36.38,-121.2,2016-05-22 15:27:00+00:00,2016,3876,TRUE,TRUE
170,Day Fire,Modoc,25,41.13,-121.21,2014-07-30 19:01:00+00:00,2014,13153,TRUE,TRUE
1246,3-10 Fire,Lassen,18,40.95,-121.22,2018-07-15 11:55:00+00:00,2018,56,TRUE,FALSE
1491,Canyon Fire,Santa Clara,43,37.46,-121.22,2019-05-30 16:19:00+00:00,2019,144,TRUE,FALSE
1582,Point Fire ,Santa Clara,43,37.07,-121.22,2019-10-07 09:58:51.763000+00:00,2019,29,TRUE,FALSE
1619,Mayberry Fire ,Butte,4,39.33,-121.23,2019-06-29 22:07:59+00:00,2019,12,TRUE,FALSE
459,Coleman Fire,Monterey,27,36.02,-121.25,2016-06-04 14:33:00+00:00,2016,2520,TRUE,FALSE
1180,Nacimiento Fire,Monterey,27,35.98,-121.25,2018-10-02 12:32:00+00:00,2018,150,FALSE,FALSE
1398,Tucker Fire,Modoc,25,41.8,-121.26,2019-07-28 15:58:00+00:00,2019,14217,FALSE,FALSE
346,Cook Fire,Yuba,58,39.27,-121.26,2015-06-18 13:07:00+00:00,2015,158,TRUE,TRUE
233,Little Fire,Modoc,25,41.51,-121.27,2014-08-12 15:00:00+00:00,2014,101,TRUE,FALSE
1208,3-16 Fire,Lassen,18,40.95,-121.27,2018-07-15 18:54:00+00:00,2018,89,TRUE,FALSE
1190,Murphy Fire,Plumas,32,40.0,-121.27,2018-08-07 02:11:00+00:00,2018,117,FALSE,FALSE
259,Hutto Fire,Nevada,29,39.19,-121.27,2014-07-07 16:35:00+00:00,2014,38,TRUE,FALSE
1416,Rock Fire,Stanislaus,50,37.47,-121.28,2019-06-26 08:54:24+00:00,2019,2422,TRUE,FALSE
1258,Haycamp Fire,Monterey,27,35.97,-121.28,2018-02-07 15:53:00+00:00,2018,50,FALSE,FALSE
713,Battle Fire,Modoc,25,41.86,-121.3,2017-06-28 13:50:00+00:00,2017,562,FALSE,FALSE
727,Dode Fire,Modoc,25,41.72,-121.3,2017-07-13 15:23:00+00:00,2017,410,FALSE,FALSE
662,Ponderosa Fire,Butte,4,39.58,-121.3,2017-08-29 13:16:00+00:00,2017,4016,TRUE,FALSE
876,West Fire,Yuba,58,39.06,-121.3,2017-07-08 16:47:00+00:00,2017,50,TRUE,FALSE
502,Athens Fire,Placer,31,38.84,-121.31,2016-05-17 15:06:00+00:00,2016,169,TRUE,FALSE
926,Valley Fire,San Benito,35,36.86,-121.31,2017-07-04 13:21:00+00:00,2017,34,TRUE,FALSE
1380,3-2 Willow (Previously H-1 Fire),Lassen,18,40.9,-121.32,2019-08-07 18:48:57+00:00,2019,107,TRUE,FALSE
492,Tobin Fire,Plumas,32,39.92,-121.32,2016-09-26 13:23:00+00:00,2016,248,FALSE,FALSE
1530,Scott Fire,Yuba,58,39.25,-121.32,2019-06-25 13:51:09+00:00,2019,80,TRUE,FALSE
1531,Scott Fire,Yuba,58,39.25,-121.32,2019-06-24 11:57:00+00:00,2019,80,TRUE,FALSE
108,McGanney Fire,Yuba,58,39.21,-121.32,2013-07-08 09:59:00+00:00,2013,73,TRUE,FALSE
701,Beale Fire,Yuba,58,39.12,-121.33,2017-08-20 14:44:00+00:00,2017,867,TRUE,FALSE
1375,Foothills Fire,Placer,31,38.84,-121.33,2019-11-25 12:39:44+00:00,2019,355,TRUE,FALSE
312,Cienega Fire,San Benito,35,36.71,-121.33,2015-10-12 16:00:00+00:00,2015,670,TRUE,TRUE
546,Arroyo Fire,Monterey,27,36.28,-121.33,2016-06-18 16:47:00+00:00,2016,70,TRUE,FALSE
244,Cassel Fire,Shasta,45,40.57,-121.34,2014-07-05 18:44:00+00:00,2014,75,TRUE,TRUE
308,Lumpkin Fire,Butte,4,39.52,-121.34,2015-09-11 14:15:00+00:00,2015,1042,TRUE,TRUE
1030,Rebie Fire,Butte,4,39.5,-121.34,2017-07-12 13:55:00+00:00,2017,10,TRUE,TRUE
