,Name,County,County IDs,Latitude,Longitude,Started,Year,Acres Burned,Cal Fire Incident,Major Incident
767,Evans Fire,Sierra,46,39.71,-120.02,2017-06-19 21:41:00+00:00,2017,168,FALSE,FALSE
723,Eastman Fire,Madera,20,37.15,-120.02,2017-09-18 16:04:00+00:00,2017,429,TRUE,FALSE
770,26 Fire,Madera,20,37.13,-120.02,2017-06-07 21:00:00+00:00,2017,157,TRUE,FALSE
819,Daulton Fire,Madera,20,37.1,-120.02,2017-07-07 10:00:00+00:00,2017,90,TRUE,FALSE
1415,Long Valley Fire ,Lassen,18,39.89,-120.03,2019-08-24 17:25:04+00:00,2019,2438,FALSE,FALSE
708,Farad Fire,Sierra,46,39.44,-120.03,2017-07-10 13:02:00+00:00,2017,747,FALSE,FALSE
236,Irene Fire,El Dorado,9,38.59,-120.03,2014-09-14 09:15:00+00:00,2014,94,FALSE,FALSE
26,Power Fire,Tuolumne,55,38.25,-120.03,2013-08-05 06:00:00+00:00,2013,1070,FALSE,FALSE
506,Old Fire,Del Norte,8,37.76,-120.03,2016-09-13 13:55:00+00:00,2016,150,FALSE,FALSE
1378,Valley Fire,Mariposa,22,37.24,-120.03,2019-07-21 12:01:40+00:00,2019,149,TRUE,FALSE
1307,Wagner Fire,Mariposa,22,37.7,-120.05,2018-08-04 13:57:00+00:00,2018,22,TRUE,FALSE
668,I-5 Fire,Kings,16,36.05,-120.05,2017-08-24 18:13:00+00:00,2017,2312,FALSE,FALSE
37,Branch Fire,San Luis Obispo,40,35.16,-120.05,2013-06-01 17:27:00+00:00,2013,500,FALSE,FALSE
703,Poslin Fire,Lassen,18,39.89,-120.07,2017-08-06 19:52:00+00:00,2017,859,FALSE,FALSE
64,Olive Fire,Santa Barbara,42,34.61,-120.07,2013-05-28 15:24:00+00:00,2013,170,TRUE,FALSE
239,Boca Fire,Nevada,29,39.39,-120.08,2014-08-18 10:00:00+00:00,2014,84,TRUE,FALSE
0,Rim Fire,Tuolumne,55,37.86,-120.09,2013-08-17 15:25:00+00:00,2013,257314,TRUE,FALSE
1112,Front Fire,Santa Barbara,42,35.11,-120.09,2018-08-19 13:37:00+00:00,2018,1014,FALSE,FALSE
1482,York Fire,Kings,16,35.82,-120.1,2019-04-28 22:20:00+00:00,2019,161,TRUE,FALSE
1097,Eagle Fire,Modoc,25,41.29,-120.11,2018-07-13 22:03:00+00:00,2018,2100,FALSE,FALSE
288,Dodge Fire,Lassen,18,40.94,-120.11,2015-08-03 14:15:00+00:00,2015,10570,FALSE,FALSE
636,R-4 Fire,Lassen,18,40.7,-120.11,2017-08-30 08:30:00+00:00,2017,18618,FALSE,FALSE
846,River Fire,Lassen,18,40.03,-120.11,2017-06-04 16:12:00+00:00,2017,67,TRUE,FALSE
500,Emerald Fire,El Dorado,9,38.93,-120.11,2016-10-14 01:28:00+00:00,2016,176,TRUE,TRUE
270,Cascade Fire,El Dorado,9,38.92,-120.11,2014-09-25 18:00:00+00:00,2014,20,FALSE,FALSE
1503,Bitter Fire ,San Luis Obispo,40,35.57,-120.12,2019-06-10 11:55:00+00:00,2019,120,TRUE,FALSE
1204,Water Fire,San Luis Obispo,40,35.57,-120.12,2018-05-24 10:43:00+00:00,2018,100,TRUE,FALSE
875,Mesa Fire,Santa Barbara,42,34.72,-120.13,2017-07-17 14:55:00+00:00,2017,50,TRUE,FALSE
618,Long Valley Fire,Lassen,18,40.07,-120.14,2017-07-11 14:15:00+00:00,2017,83733,FALSE,FALSE
696,Chilcoot Fire,Plumas,32,39.75,-120.14,2017-08-06 15:32:00+00:00,2017,1020,FALSE,FALSE
