,County,Year,MWh
193,Madera,2016,1586.45
194,Marin,2016,1342.38
195,Mariposa,2016,107.67
196,Mendocino,2016,578.07
197,Merced,2016,3462.87
198,Modoc,2016,152.09
199,Mono,2016,189.67
200,Monterey,2016,2571.17
201,Napa,2016,1054.48
202,Nevada,2016,658.77
203,Orange,2016,20221.3
204,Placer,2016,2932.11
205,Plumas,2016,202.8
206,Riverside,2016,15409.36
207,Sacramento,2016,10754.48
208,San Benito,2016,380.91
209,San Bernardino,2016,14946.91
210,San Diego,2016,19665.68
212,San Joaquin,2016,5430.76
213,San Luis Obispo,2016,1732.69
214,San Mateo,2016,4341.76
215,Santa Barbara,2016,2853.62
216,Santa Clara,2016,16814.63
217,Santa Cruz,2016,1225.62
218,Shasta,2016,1555.08
219,Sierra,2016,25.92
220,Siskiyou,2016,492.69
221,Solano,2016,3211.44
222,Sonoma,2016,2950.66
223,Stanislaus,2016,4751.3
224,Sutter,2016,628.18
225,Tehama,2016,495.87
226,Trinity,2016,128.55
227,Tulare,2016,4360.48
228,Tuolumne,2016,447.46
229,Ventura,2016,5455.5
230,Yolo,2016,1699.45
231,Yuba,2016,481.14
232,Alameda,2017,11079.45
233,Alpine,2017,18.98
234,Amador,2017,313.31
235,Butte,2017,1529.82
236,Calaveras,2017,347.93
237,Colusa,2017,292.59
238,Contra Costa,2017,9689.89
239,Del Norte,2017,216.93
240,El Dorado,2017,1255.28
241,Fresno,2017,7380.73
242,Glenn,2017,390.98
243,Humboldt,2017,824.28
245,Inyo,2017,204.64
246,Kern,2017,18492.58
247,Kings,2017,1497.85
248,Lake,2017,463.87
249,Lassen,2017,385.69
250,Los Angeles,2017,68656.72
251,Madera,2017,1588.06
252,Marin,2017,1383.98
253,Mariposa,2017,111.43
254,Mendocino,2017,585.0
255,Merced,2017,3966.08
256,Modoc,2017,152.8
257,Mono,2017,199.44
258,Monterey,2017,2572.16
259,Napa,2017,1058.69
260,Nevada,2017,740.86
261,Orange,2017,20201.47
262,Placer,2017,2966.18
263,Plumas,2017,201.56
264,Riverside,2017,15857.73
265,Sacramento,2017,11322.85
266,San Benito,2017,377.68
267,San Bernardino,2017,15283.33
268,San Diego,2017,19667.45
270,San Joaquin,2017,5626.57
271,San Luis Obispo,2017,1765.64
272,San Mateo,2017,4357.45
273,Santa Barbara,2017,2805.7
274,Santa Clara,2017,17016.73
275,Santa Cruz,2017,1223.07
276,Shasta,2017,1574.75
277,Sierra,2017,21.87
278,Siskiyou,2017,508.37
279,Solano,2017,3217.18
280,Sonoma,2017,3005.6
281,Stanislaus,2017,4865.51
282,Sutter,2017,641.87
283,Tehama,2017,517.03
284,Trinity,2017,137.27
285,Tulare,2017,4238.98
286,Tuolumne,2017,460.44
287,Ventura,2017,5508.93
288,Yolo,2017,1739.58
289,Yuba,2017,504.68
290,Alameda,2018,10391.36
291,Alpine,2018,18.7
292,Amador,2018,304.09
293,Butte,2018,1475.79
294,Calaveras,2018,332.35
295,Colusa,2018,297.13
296,Contra Costa,2018,9258.84
297,Del Norte,2018,207.03
298,El Dorado,2018,1214.45
299,Fresno,2018,7602.41
300,Glenn,2018,407.16
301,Humboldt,2018,799.99
303,Inyo,2018,209.22
304,Kern,2018,15917.37
305,Kings,2018,1758.38
306,Lake,2018,441.62
307,Lassen,2018,410.99
308,Los Angeles,2018,67907.48
309,Madera,2018,1649.62
310,Marin,2018,1328.25
311,Mariposa,2018,112.75
312,Mendocino,2018,564.44
313,Merced,2018,3551.34
314,Modoc,2018,148.95
315,Mono,2018,196.88
316,Monterey,2018,2495.03
317,Napa,2018,1033.06
318,Nevada,2018,713.89
319,Orange,2018,20007.67
320,Placer,2018,2901.81
321,Plumas,2018,205.66
322,Riverside,2018,15877.45
323,Sacramento,2018,10852.26
324,San Benito,2018,383.37
325,San Bernardino,2018,15371.56
326,San Diego,2018,19732.62
328,San Joaquin,2018,5658.48
329,San Luis Obispo,2018,1767.88
330,San Mateo,2018,4255.61
331,Santa Barbara,2018,2832.54
332,Santa Clara,2018,16703.55
333,Santa Cruz,2018,1213.47
334,Shasta,2018,1567.86
335,Sierra,2018,21.07
336,Siskiyou,2018,495.14
337,Solano,2018,3267.95
338,Sonoma,2018,2911.1
339,Stanislaus,2018,4805.52
340,Sutter,2018,632.15
341,Tehama,2018,505.91
342,Trinity,2018,130.47
343,Tulare,2018,4430.86
344,Tuolumne,2018,453.5
345,Ventura,2018,5446.2
346,Yolo,2018,1712.52
347,Yuba,2018,503.07
348,Alameda,2019,10684.09
349,Alpine,2019,18.91
350,Amador,2019,317.89
351,Butte,2019,1396.25
352,Calaveras,2019,330.56
353,Colusa,2019,285.49
354,Contra Costa,2019,9639.41
355,Del Norte,2019,210.25
356,El Dorado,2019,1227.89
357,Fresno,2019,7387.26
358,Glenn,2019,394.1
359,Humboldt,2019,791.36
361,Inyo,2019,208.61
362,Kern,2019,17105.08
363,Kings,2019,1583.07
364,Lake,2019,446.07
365,Lassen,2019,403.76
366,Los Angeles,2019,66118.67
367,Madera,2019,1568.01
368,Marin,2019,1355.34
369,Mariposa,2019,109.73
370,Mendocino,2019,562.26
371,Merced,2019,3698.61
372,Modoc,2019,145.17
373,Mono,2019,205.22
374,Monterey,2019,2470.65
375,Napa,2019,1043.0
376,Nevada,2019,712.54
377,Orange,2019,19459.51
378,Placer,2019,2914.87
379,Plumas,2019,210.49
380,Riverside,2019,15520.13
381,Sacramento,2019,10828.22
382,San Benito,2019,379.87
383,San Bernardino,2019,14987.21
384,San Diego,2019,19047.67
386,San Joaquin,2019,5583.34
387,San Luis Obispo,2019,1707.39
388,San Mateo,2019,4325.28
389,Santa Barbara,2019,2757.61
390,Santa Clara,2019,16664.46
391,Santa Cruz,2019,1200.68
392,Shasta,2019,1535.59
393,Sierra,2019,21.99
394,Siskiyou,2019,495.64
395,Solano,2019,3226.6
396,Sonoma,2019,2880.4
397,Stanislaus,2019,4750.06
398,Sutter,2019,632.09
399,Tehama,2019,507.74
400,Trinity,2019,135.05
401,Tulare,2019,4162.2
402,Tuolumne,2019,452.64
403,Ventura,2019,5344.04
404,Yolo,2019,1720.75
405,Yuba,2019,511.73
