,County,Year,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Avg Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Rel Hum (%),Dew Point (F),Avg Wind Speed (mph),Avg Soil Temp (F)
0,Alameda,2013,100.46999999999991,8.369999999999997,428.3008241758242,10.923076923076914,103.4,20.9,57.32074175824183,100.0,11.0,66.5013812154696,45.552071823204464,3.295329670329668,60.82774725274732
1,Alameda,2014,100.44999999999995,36.63000000000001,410.66117969821676,11.995068493150677,101.6,28.8,60.16913580246914,100.0,7.0,67.19368131868131,48.52129120879119,3.413150684931508,63.18863013698625
2,Alameda,2015,99.20000000000006,23.459999999999997,412.0904109589041,11.686575342465751,103.7,25.1,59.291083676268855,100.0,7.0,67.14738292011019,47.72258953168044,3.3101369863013725,62.70986301369856
3,Alameda,2016,96.10000000000005,45.65000000000003,397.99316005471957,11.668399452804378,102.7,25.6,59.024623803009575,99.0,9.0,68.48351648351648,48.035851648351574,3.323255813953487,63.18372093023256
4,Alameda,2017,95.8,51.340000000000124,367.37235772357724,10.864332247557005,111.1,26.6,57.83617021276592,100.0,7.0,65.23378839590444,45.00068259385665,3.263166397415186,60.9030894308943
5,Alameda,2018,132.60000000000014,40.310000000000095,437.5258799171843,11.453519668737059,99.3,19.9,57.5423395445135,100.0,9.0,69.96687370600414,47.29140786749482,3.950828157349891,61.80631469979295
6,Alameda,2019,141.8700000000001,57.87000000000009,430.44684854186266,11.761335841956715,101.6,26.8,57.89623706491065,100.0,9.0,70.88334901222954,47.97704609595478,3.985042333019755,60.73621825023519
7,Alameda,2020,116.03999999999988,24.829999999999973,494.15426251691474,11.9598105548038,108.8,28.3,59.092828146143376,100.0,8.0,69.36941813261164,48.47929634641408,4.134100135317997,62.526928281461416
8,Alpine,2014,0.0,12.079999999999995,381.93037974683546,5.827848101265823,97.4,10.4,54.297402597402595,100.0,4.0,42.94155844155844,30.024836601307186,7.3246835443038,57.210126582278484
9,Alpine,2015,0.0,37.040000000000006,415.11570247933884,5.773553719008262,96.3,-1.8,50.87257617728527,100.0,4.0,47.125,28.975277777777784,6.8487603305785125,51.67793296089387
10,Alpine,2016,0.0,57.91000000000001,443.2103825136612,5.16857923497268,98.7,-3.6,50.71284153005471,100.0,4.0,44.50273224043716,26.830601092896174,7.88142076502733,49.26311475409839
11,Alpine,2017,0.0,92.32000000000002,433.62191780821917,5.809863013698627,97.1,2.4,49.55972602739725,98.0,5.0,48.16528925619835,28.997520661157036,7.646027397260282,51.19196675900278
12,Alpine,2019,33.82999999999998,5.56,460.73056994818654,5.764766839378233,92.0,4.6,50.38860103626944,99.0,9.0,46.461139896373055,28.563730569948163,7.091191709844557,51.31917098445599
13,Alpine,2020,47.240000000000016,7.599999999999998,494.196,5.687200000000001,95.5,2.6,51.297999999999966,99.0,7.0,44.064,28.673199999999994,7.627999999999998,50.794799999999974
14,Amador,2013,51.670000000000016,6.64,439.62745098039215,8.311484593837532,103.5,20.8,56.52941176470587,100.0,11.0,53.9327731092437,38.57086834733894,3.2064425770308125,61.269187675070015
15,Amador,2014,52.50000000000002,29.270000000000007,433.6931506849315,9.313972602739726,100.5,23.9,59.5394520547945,100.0,10.0,54.67493112947658,41.36336088154271,3.2367123287671205,63.40767123287671
16,Amador,2015,51.019999999999996,21.029999999999994,429.26849315068495,9.362739726027392,101.0,24.1,58.388767123287714,100.0,9.0,58.244505494505496,41.94945054945052,3.12191780821918,62.506575342465744
17,Amador,2016,50.68000000000003,65.33000000000001,411.73224043715845,8.677868852459012,100.5,24.9,57.47923497267759,100.0,5.0,55.68767123287671,39.91726027397262,3.220218579234972,61.7068306010928
18,Amador,2017,48.26999999999999,46.91000000000001,381.3643835616438,9.137808219178082,104.9,26.1,58.29178082191775,100.0,10.0,55.92307692307692,40.67472527472531,3.323835616438357,61.8619178082192
19,Amador,2018,50.47999999999998,24.760000000000005,404.6190476190476,8.263025210084031,100.4,21.2,57.9204481792717,100.0,6.0,49.99439775910364,38.01092436974793,3.2131652661064396,62.01428571428572
20,Amador,2019,49.319999999999986,41.40999999999999,398.4194444444444,8.180833333333338,99.1,25.8,57.270277777777764,100.0,7.0,49.34722222222222,37.42000000000003,3.3913888888888897,61.765833333333276
21,Amador,2020,42.510000000000026,14.43,482.420233463035,9.17315175097277,106.2,25.3,60.81089494163421,99.0,10.0,48.552529182879375,40.43151750972764,3.129182879377434,63.505447470817096
22,Butte,2013,51.43999999999999,9.329999999999998,427.1923076923077,11.56868131868132,105.5,19.4,59.51895604395608,100.0,0.0,62.78512396694215,46.00909090909088,3.3604395604395605,60.376373626373635
23,Butte,2014,49.39000000000004,21.59,414.62258953168043,13.954419889502775,115.1,27.4,62.99972375690607,100.0,0.0,69.18571428571428,51.04057142857136,3.176584022038566,61.80550964187328
24,Butte,2015,80.61999999999989,13.549999999999997,430.5943060498221,12.021428571428583,106.8,23.6,62.68425760286227,100.0,0.0,69.6135831381733,48.82599531615919,3.2555309734513265,64.55284697508898
25,Butte,2016,99.74999999999997,47.140000000000015,423.6693989071038,13.42745901639343,110.5,25.3,62.134289617486345,100.0,13.0,69.1440329218107,51.221262002743465,3.6290983606557403,63.185928961748594
26,Butte,2017,104.45999999999994,44.00000000000003,425.8767123287671,13.77506849315071,115.4,27.8,63.31854395604391,100.0,12.0,66.7726618705036,50.14633093525182,3.899452054794521,62.79657534246579
27,Butte,2018,95.48000000000003,34.37000000000002,423.3391557496361,12.655895196506554,115.9,22.6,61.461572052401756,100.0,1.0,65.58951965065502,49.0049490538573,3.512227074235805,61.89650655021844
28,Butte,2019,98.34000000000007,56.600000000000016,424.3328729281768,12.621132596685092,103.9,26.7,60.62707182320437,100.0,1.0,67.6671270718232,49.05676795580114,3.685911602209949,61.37334254143648
29,Butte,2020,91.35,9.439999999999994,484.508896797153,14.02989323843416,109.7,28.5,64.73932384341644,100.0,8.0,64.3540925266904,51.72384341637011,3.5562277580071147,64.93914590747336
30,Colusa,2016,16.029999999999998,5.510000000000001,342.9862068965517,12.123308270676695,102.6,25.7,59.486206896551714,100.0,13.0,72.71428571428571,48.61278195488724,4.4030075187969935,61.64620689655175
31,Colusa,2017,54.20999999999998,16.750000000000018,412.53972602739725,12.781095890410949,109.0,26.9,62.219999999999985,100.0,10.0,64.94722222222222,49.01611111111111,5.470684931506853,61.73013698630143
