County,Year,Name,County IDs,Latitude,Longitude,Started,Acres Burned,Cal Fire Incident,Major Incident,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Avg Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Rel Hum (%),Dew Point (F),Avg Wind Speed (mph),Avg Soil Temp (F),MWh,Ocean Proximity,Population,Households,Average Income,Average House Value
Tulare,2013,Fish Fire,54,36.21,-118.44,2013-08-24 14:31:00+00:00,2060,f,f,113.41000000000007,6.949999999999998,454.00961538461536,10.660660247592848,107.7,19.7,61.93859890109901,100,9,55.42916093535076,44.84869325997247,3.026923076923078,64.61731301939065,4286.39,INLAND,309025,97400,25904,79152
Santa Barbara,2013,White Fire,42,34.55,-119.82,2013-05-27 14:45:00+00:00,1984,f,f,307.2499999999988,44.73999999999999,438.68589743589746,10.707692307692303,103.8,12.8,56.61877289377298,100,7,67.1773082223243,44.83105190629303,4.289194139194143,61.79130643611911,3374.32,<1H OCEAN,356294,125486,42938,274577
Mariposa,2013,Carstens Fire,22,37.58,-119.91,2013-06-16 14:12:00+00:00,1708,t,t,118.82000000000008,44.83,454.06280193236717,10.074095238095243,107.3,13.7,59.92180952380953,100,6,56.64380952380952,43.34247619047616,4.764,63.372545281220226,113.2,INLAND,14302,5604,26091,100178
Riverside,2013,Falls Fire,33,33.62,-117.4,2013-08-05 10:10:00+00:00,1383,t,f,705.7600000000024,29.75000000000001,462.86552440290757,10.856196414653157,119.7,19,67.77426050856255,100,0,45.495943470295735,43.821015440984,4.654099636741037,66.37323980254612,15138.42,<1H OCEAN,1159159,400110,34210,141866
San Diego,2013,General Fire,37,33.04,-116.52,2013-05-26 12:04:00+00:00,1271,t,t,308.8899999999999,20.46,433.4232536764706,12.538055937643307,116.8,21.4,62.57987161852359,100,0,64.1259990597085,47.9968970380818,3.690004585052727,65.07215496368055,19687.54,<1H OCEAN,2444026,882162,41120,208943
Tuolumne,2013,Power Fire,55,38.25,-120.03,2013-08-05 06:00:00+00:00,1070,f,f,174.53000000000043,10.539999999999987,451.2197802197802,10.936721611721609,104.1,20.9,59.58007380073795,99,0,61.117158671586715,45.477952029520296,4.918956043956049,61.116300366300365,460.72,INLAND,48456,17953,28035,124328
Monterey,2013,Pfeiffer Fire,27,36.31,-121.35,2013-12-16 00:20:00+00:00,917,f,f,357.58999999999907,32.51999999999997,420.5185853482497,10.869780021637219,103.8,17.7,54.40367700072106,100,8,73.51939416328038,45.78913926856314,4.481795241528478,60.621278140886055,2634.33,<1H OCEAN,346310,112784,38735,227568
Kern,2013,Shirley Fire,15,35.71,-118.59,2013-08-18 23:12:00+00:00,794,f,f,200.76000000000013,9.389999999999999,453.06083333333333,10.111435726210342,108.6,17.3,62.23619683069218,100,-17,52.54553049289891,43.29582289055975,3.970033388981641,63.40033333333318,15059.3,INLAND,528995,179480,30395,84960
Kern,2013,Rancho Fire,15,34.88,-118.92,2013-07-19 12:00:00+00:00,712,t,t,200.76000000000013,9.389999999999999,453.06083333333333,10.111435726210342,108.6,17.3,62.23619683069218,100,-17,52.54553049289891,43.29582289055975,3.970033388981641,63.40033333333318,15059.3,INLAND,528995,179480,30395,84960
Los Angeles,2013,Lake Fire,19,34.49,-118.61,2013-05-17 13:23:00+00:00,712,t,f,585.5699999999993,40.279999999999994,448.6434279415817,10.350647204626803,110.5,9.6,62.793248828878525,100,0,51.038658328595794,41.9098351335986,4.157583264519675,63.35875530410175,68373.3,<1H OCEAN,8777895,2970038,43788,255083
Kern,2013,Water Fire,15,34.9,-118.93,2013-07-23 09:15:00+00:00,612,t,f,200.76000000000013,9.389999999999999,453.06083333333333,10.111435726210342,108.6,17.3,62.23619683069218,100,-17,52.54553049289891,43.29582289055975,3.970033388981641,63.40033333333318,15059.3,INLAND,528995,179480,30395,84960
El Dorado,2013,Kyburz Fire,9,38.77,-120.3,2013-07-08 12:45:00+00:00,572,f,f,118.72999999999993,16.019999999999996,457.7706043956044,7.925961538461535,102.3,19.2,59.51112637362634,98,9,46.520604395604394,37.01318681318676,4.4971153846153795,58.244093406593365,1241.48,INLAND,123513,45832,34418,147732
San Bernardino,2013,Mills Fire,36,34.07,-117.05,2013-06-28 14:30:00+00:00,534,t,t,255.9,17.669999999999987,474.43684500827356,6.23257993384785,119.1,1.7,58.71990077177513,100,4,36.917640511964386,28.9683917640512,4.885777287761852,56.7788150807899,14375.33,<1H OCEAN,1406961,464114,34659,127901
Plumas,2013,Plumas Lightning Complex (Hough),32,40.01,-120.76,2013-08-18 18:30:00+00:00,513,f,f,51.43999999999999,9.329999999999998,427.1923076923077,11.56868131868132,105.5,19.4,59.51895604395608,100,0,62.78512396694215,46.00909090909088,3.3604395604395605,60.376373626373635,211.83,INLAND,19739,8125,26342,97109
Riverside,2013,Gorgonio Fire,33,33.89,-116.86,2013-05-04 11:43:00+00:00,510,t,f,705.7600000000024,29.75000000000001,462.86552440290757,10.856196414653157,119.7,19,67.77426050856255,100,0,45.495943470295735,43.821015440984,4.654099636741037,66.37323980254612,15138.42,<1H OCEAN,1159159,400110,34210,141866
