Name,County,County IDs,Latitude,Longitude,Started,Year,Acres Burned,Cal Fire Incident,Major Incident
Burney Lightning Series (Warner Fire),Shasta,45,40.54,-121.38,2013-08-19 17:48:00+00:00,2013,196,True,True
Paskenta Fire,Tehama,52,39.96,-122.33,2013-07-19 13:32:00+00:00,2013,195,True,False
Silverado Fire,Napa,28,38.38,-122.31,2013-11-21 21:39:00+00:00,2013,190,True,True
Olive Fire,Santa Barbara,42,34.61,-120.07,2013-05-28 15:24:00+00:00,2013,170,True,False
Capay Fire,Yolo,57,38.67,-122.09,2013-11-04 11:41:00+00:00,2013,163,True,False
50 Fire,El Dorado,9,38.64,-121.08,2013-07-19 14:12:00+00:00,2013,163,True,False
50 Fire,Sacramento,34,38.64,-121.08,2013-07-19 14:12:00+00:00,2013,163,True,False
Crane Fire,Sonoma,49,38.35,-122.65,2013-10-04 12:25:00+00:00,2013,159,True,False
Lakeville Fire,Sonoma,49,38.18,-122.51,2013-07-26 13:45:00+00:00,2013,158,True,False
Highland Fire,Alameda,1,37.6,-121.72,2013-10-04 07:35:00+00:00,2013,150,True,False
Redlands Fire,Riverside,33,33.99,-117.16,2013-07-16 17:48:00+00:00,2013,150,True,False
Diablo Fire,Stanislaus,50,37.44,-121.2,2013-07-12 15:35:00+00:00,2013,150,True,False
George Fire,Fresno,10,36.72,-119.22,2013-06-25 13:36:00+00:00,2013,150,True,False
Neal Fire,Butte,4,39.63,-121.54,2013-05-22 00:56:00+00:00,2013,150,True,True
Magic Fire,Los Angeles,19,34.42,-118.59,2013-05-28 11:30:00+00:00,2013,149,True,False
Angora Fire,Tulare,54,36.26,-118.46,2013-09-08 11:53:00+00:00,2013,134,False,False
Yellow Fire,Sonoma,49,38.64,-122.66,2013-05-01 02:01:00+00:00,2013,125,True,True
California Fire,Solano,48,38.09,-122.14,2013-06-18 15:18:00+00:00,2013,124,True,False
152 Fire,Merced,24,37.04,-121.01,2013-06-04 15:42:00+00:00,2013,124,True,False
Smiley Fire,Riverside,33,33.96,-117.19,2013-05-25 14:59:00+00:00,2013,124,True,False
Cantwell Fire,Lake,17,38.88,-122.57,2013-11-08 13:42:00+00:00,2013,120,True,True
Union Fire,El Dorado,9,38.68,-120.84,2013-08-16 13:55:00+00:00,2013,116,True,True
Cleghorn Fire,San Bernardino,36,34.29,-117.45,2013-08-17 17:25:00+00:00,2013,110,False,False
Clinton Fire,Fresno,10,36.77,-119.63,2013-06-13 11:54:00+00:00,2013,108,True,False
Freeman Fire,Monterey,27,36.15,-120.9,2013-06-29 14:09:00+00:00,2013,105,True,False
Bee Fire,Los Angeles,19,34.32,-118.31,2013-08-09 17:15:00+00:00,2013,100,False,False
Murphy Fire,Tuolumne,55,37.92,-120.33,2013-06-02 13:30:00+00:00,2013,100,True,False
Border Fire,San Diego,37,32.56,-116.9,2013-05-22 16:14:00+00:00,2013,100,True,False
Highland Fire,Mendocino,23,38.93,-122.97,2013-09-28 13:57:00+00:00,2013,98,True,False
Davis Creek Complex,Modoc,25,41.73,-120.38,2013-09-05 15:57:00+00:00,2013,97,False,False
Little Fire,San Bernardino,36,33.64,-116.71,2013-08-24 15:09:00+00:00,2013,97,False,False
