,AcresBurned,ArchiveYear,CalFireIncident,Counties,CountyIds,Latitude,Longitude,MajorIncident,Name,PersonnelInvolved,Started
48,296.0,2013,TRUE,Lake,17,0.0,0.0,FALSE,Becks Fire,,2013-01-22T11:08:00Z
49,274.0,2013,TRUE,Contra Costa,7,39.90465,-121.74367,FALSE,Concord Fire,,2013-07-01T15:41:00Z
50,274.0,2013,TRUE,Madera,20,37.116295,-119.63500400000000,FALSE,Gold Fire,,2013-04-30T12:59:00Z
51,268.0,2013,FALSE,Los Angeles,19,34.149,-117.90800000000000,FALSE,Madre Fire,,2013-09-23T18:00:00Z
52,263.0,2013,TRUE,San Diego,37,32.710918,-116.746023,TRUE,Lyon Fire,294.0,2013-09-09T13:09:00Z
53,243.0,2013,FALSE,San Bernardino,36,34.35,-117.62,FALSE,Sharp Fire,,2013-08-08T12:15:00Z
54,240.0,2013,TRUE,Alameda,1,37.775057000000000,-121.73721300000000,FALSE,Vasco Fire,,2013-06-08T10:16:00Z
55,237.0,2013,TRUE,Placer,31,38.729297000000000,-121.38086200000000,FALSE,PFE Fire,,2013-06-13T11:28:00Z
56,226.0,2013,FALSE,Glenn,11,0.0,0.0,FALSE,Daves Fire,,2013-06-12T15:17:00Z
57,217.0,2013,TRUE,Glenn,11,39.514139,-122.56086200000000,TRUE,306 Fire,221.0,2013-05-01T19:00:00Z
58,213.0,2013,FALSE,Monterey,27,0.0,0.0,FALSE,Tassajara Fire,,2013-07-17T13:23:00Z
59,200.0,2013,FALSE,San Bernardino,36,34.2,-117.417,FALSE,Sierra Fire,,2013-09-24T15:51:00Z
60,200.0,2013,TRUE,Tehama,52,40.012398,-122.079871,FALSE,Vina Fire,,2013-07-04T07:30:00Z
61,196.0,2013,TRUE,Shasta,45,40.5445,-121.3754,TRUE,Burney Lightning Series (Warner Fire),347.0,2013-08-19T17:48:00Z
62,195.0,2013,TRUE,Tehama,52,39.961309,-122.33087900000000,FALSE,Paskenta Fire,,2013-07-19T13:32:00Z
63,190.0,2013,TRUE,Napa,28,38.382,-122.311,TRUE,Silverado Fire,150.0,2013-11-21T21:39:00Z
64,170.0,2013,TRUE,Santa Barbara,42,34.611824,-120.074655,FALSE,Olive Fire,,2013-05-28T15:24:00Z
65,163.0,2013,TRUE,Yolo,57,38.67479,-122.08725,FALSE,Capay Fire,,2013-11-04T11:41:00Z
66,163.0,2013,TRUE,El Dorado,9,38.63987,-121.08438000000000,FALSE,50 Fire,,2013-07-19T14:12:00Z
67,163.0,2013,TRUE,Sacramento,34,38.63987,-121.08438000000000,FALSE,50 Fire,,2013-07-19T14:12:00Z
68,159.0,2013,TRUE,Sonoma,49,38.34599,-122.6503,FALSE,Crane Fire,,2013-10-04T12:25:00Z
69,158.0,2013,TRUE,Sonoma,49,38.17693,-122.51253,FALSE,Lakeville Fire,,2013-07-26T13:45:00Z
70,150.0,2013,TRUE,Alameda,1,0.0,0.0,FALSE,Highland Fire,,2013-10-04T07:35:00Z
71,150.0,2013,TRUE,Riverside,33,33.990128000000000,-117.164997,FALSE,Redlands Fire,,2013-07-16T17:48:00Z
72,150.0,2013,TRUE,Stanislaus,50,37.436,-121.1955,FALSE,Diablo Fire,,2013-07-12T15:35:00Z
73,150.0,2013,TRUE,Fresno,10,36.7218,-119.2248,FALSE,George Fire,,2013-06-25T13:36:00Z
74,150.0,2013,TRUE,Butte,4,0.0,0.0,TRUE,Neal Fire,60.0,2013-05-22T00:56:00Z
75,149.0,2013,TRUE,Los Angeles,19,34.419284000000000,-118.58688000000000,FALSE,Magic Fire,,2013-05-28T11:30:00Z
76,134.0,2013,FALSE,Tulare,54,36.258,-118.459,FALSE,Angora Fire,,2013-09-08T11:53:00Z
77,125.0,2013,TRUE,Sonoma,49,38.638828000000000,-122.655616,TRUE,Yellow Fire,249.0,2013-05-01T02:01:00Z
78,124.0,2013,TRUE,Solano,48,38.08744,-122.13802,FALSE,California Fire,,2013-06-18T15:18:00Z
79,124.0,2013,TRUE,Merced,24,37.03776,-121.00693900000000,FALSE,152 Fire,,2013-06-04T15:42:00Z
80,124.0,2013,TRUE,Riverside,33,33.963591,-117.18793400000000,FALSE,Smiley Fire,,2013-05-25T14:59:00Z
81,120.0,2013,TRUE,Lake,17,38.882214000000000,-122.567525,TRUE,Cantwell Fire,285.0,2013-11-08T13:42:00Z
82,116.0,2013,TRUE,El Dorado,9,38.682378,-120.839075,TRUE,Union Fire,,2013-08-16T13:55:00Z
83,110.0,2013,FALSE,San Bernardino,36,34.287,-117.45100000000000,FALSE,Cleghorn Fire,,2013-08-17T17:25:00Z
84,108.0,2013,TRUE,Fresno,10,36.772425,-119.62838900000000,FALSE,Clinton Fire,,2013-06-13T11:54:00Z
85,105.0,2013,TRUE,Monterey,27,36.1531,-120.8973,FALSE,Freeman Fire,,2013-06-29T14:09:00Z
86,100.0,2013,FALSE,Los Angeles,19,0.0,0.0,FALSE,Bee Fire,,2013-08-09T17:15:00Z
87,100.0,2013,TRUE,Tuolumne,55,37.91529,-120.33313000000000,FALSE,Murphy Fire,,2013-06-02T13:30:00Z
88,100.0,2013,TRUE,San Diego,37,32.564465000000000,-116.900368,FALSE,Border Fire,,2013-05-22T16:14:00Z
89,98.0,2013,TRUE,Mendocino,23,38.9252,-122.96600000000000,FALSE,Highland Fire,,2013-09-28T13:57:00Z
90,97.0,2013,FALSE,Modoc,25,41.73325,-120.375,FALSE,Davis Creek Complex,,2013-09-05T15:57:00Z
91,97.0,2013,FALSE,San Bernardino,36,33.642000000000000,-116.706,FALSE,Little Fire,,2013-08-24T15:09:00Z
92,97.0,2013,TRUE,Lassen,18,40.88886,-120.95812600000000,FALSE,Coyote Fire,,2013-08-09T15:51:00Z
93,96.0,2013,TRUE,Amador,3,38.27783,-120.966016,FALSE,Roadrunner Fire,,2013-06-12T16:43:00Z
94,94.0,2013,TRUE,San Luis Obispo,40,35.4393,-120.8358,FALSE,Creek Fire,,2013-09-24T03:20:00Z
95,92.0,2013,TRUE,Butte,4,39.6612,-121.50354000000000,TRUE,Branch Fire,80.0,2013-08-01T16:01:00Z
96,91.0,2013,TRUE,Madera,20,37.1927,-119.7917,TRUE,Lilly 2 Fire,,2013-05-19T15:07:00Z
97,90.0,2013,TRUE,Riverside,33,33.9582,-116.6534,FALSE,Water Fire,,2013-05-21T14:16:00Z
98,85.0,2013,TRUE,San Luis Obispo,40,35.62743,-120.83417,FALSE,Adelaida Fire,,2013-07-07T13:16:00Z
99,82.0,2013,TRUE,Mendocino,23,39.0442,-123.1478,FALSE,Retek Fire,,2013-11-22T10:06:00Z
100,80.0,2013,TRUE,Butte,4,39.731878,-121.71393800000000,TRUE,Centerville Fire,35.0,2013-08-31T17:23:00Z
101,80.0,2013,TRUE,Fresno,10,0.0,0.0,FALSE,Butte Fire,,2013-04-09T12:35:00Z
102,75.0,2013,TRUE,Tehama,52,0.0,0.0,FALSE,Tehama Fire,,2013-09-15T17:39:00Z
103,75.0,2013,TRUE,San Bernardino,36,34.316,-117.352,FALSE,Silverwood Fire,,2013-07-25T15:09:00Z
104,75.0,2013,TRUE,Madera,20,37.169379,-119.75636000000000,TRUE,Revis Fire,221.0,2013-06-12T16:40:00Z
105,75.0,2013,TRUE,San Bernardino,36,34.1834,-117.4408,TRUE,Lytle Fire,292.0,2013-05-13T13:30:00Z
106,75.0,2013,TRUE,Napa,28,38.441792,-122.350844,FALSE,Silverado Fire,,2013-04-30T23:44:00Z
107,73.0,2013,TRUE,San Bernardino,36,34.003151,-117.106075,FALSE,Liveoak Fire,,2013-09-11T16:57:00Z
108,73.0,2013,TRUE,Yuba,58,39.206000000000000,-121.31634,FALSE,McGanney Fire,,2013-07-08T09:59:00Z
109,72.0,2013,TRUE,Butte,4,0.0,0.0,TRUE,Cedar Fire,44.0,2013-05-01T04:16:00Z
110,70.0,2013,TRUE,Lake,17,39.013682,-122.49189400000000,TRUE,Double Fire,,2013-08-16T17:57:00Z
111,68.0,2013,FALSE,Modoc,25,41.569000000000000,-120.959,FALSE,Rail Fire,,2013-09-07T17:30:00Z
112,64.0,2013,TRUE,Ventura,56,34.384,-119.13249000000000,FALSE,Wheeler Fire,,2013-11-14T11:05:00Z
113,60.0,2013,FALSE,Riverside,33,38.838,-116.61,FALSE,Tram Fire,,2013-08-06T13:39:00Z
114,60.0,2013,TRUE,Riverside,33,33.910270000000000,-116.99895,FALSE,Relay Fire,,2013-08-04T16:29:00Z
115,52.0,2013,TRUE,Nevada,29,39.333401,-121.107022,FALSE,Tyler Fire,,2013-08-31T14:42:00Z
116,51.0,2013,TRUE,San Luis Obispo,40,35.457978000000000,-120.75155500000000,TRUE,Toro Fire,219.0,2013-11-08T10:30:00Z
117,50.0,2013,TRUE,Lake,17,39.0448,-122.7656,FALSE,Bruner Fire,,2013-11-23T12:04:00Z
118,50.0,2013,TRUE,Siskiyou,47,41.923323000000000,-122.57839300000000,FALSE,Cottonwood Fire,,2013-08-15T14:40:00Z
119,50.0,2013,TRUE,Santa Clara,43,37.1438,-121.7804,FALSE,Uvas Fire,,2013-07-12T13:09:00Z
120,50.0,2013,TRUE,Alameda,1,37.7393,-121.5869,FALSE,Grant Fire,,2013-07-04T10:00:00Z
121,50.0,2013,TRUE,San Luis Obispo,40,35.5123,-120.6368,FALSE,Homestead Fire,,2013-05-25T17:35:00Z
122,46.0,2013,TRUE,Calaveras,5,38.06231,-120.45233,TRUE,Bridges Fire,169.0,2013-08-17T10:11:00Z
123,46.0,2013,TRUE,Fresno,10,37.03087,-119.463757,FALSE,Sierra Fire,,2013-06-17T14:41:00Z
124,45.0,2013,TRUE,Mendocino,23,38.980846,-123.06767100000000,FALSE,Pratt Fire,,2013-07-23T13:29:00Z
125,44.0,2013,FALSE,Ventura,56,0.0,0.0,FALSE,Happy Camp Fire,,2013-12-10T02:26:00Z
126,43.0,2013,TRUE,Shasta,45,40.373000000000000,-122.7338,FALSE,Fiddler Fire,,2013-07-09T11:59:00Z
127,42.0,2013,TRUE,Riverside,33,33.969360000000000,-117.1265,FALSE,Viper Fire,,2013-06-08T15:37:00Z
128,41.0,2013,TRUE,San Mateo,41,37.667295,-122.42728500000000,FALSE,Chestnut Fire,,2013-09-07T13:55:00Z
129,40.0,2013,TRUE,Santa Clara,43,37.342186,-121.717706,FALSE,Grant Fire,,2013-12-31T05:30:00Z
130,40.0,2013,TRUE,Orange,30,33.7655,-117.6649,FALSE,Baker Fire,,2013-10-06T10:52:00Z
131,40.0,2013,TRUE,San Diego,37,0.0,0.0,FALSE,Valley Fire,,2013-09-26T17:29:00Z
132,40.0,2013,TRUE,Riverside,33,33.570291,-116.10815,FALSE,Pierce Fire,,2013-08-16T13:31:00Z
133,40.0,2013,TRUE,Siskiyou,47,0.0,0.0,FALSE,Trout Fire,,2013-07-31T15:25:00Z
134,40.0,2013,TRUE,Riverside,33,33.9634,-117.2508,FALSE,Heacock Fire,,2013-07-19T16:21:00Z
135,40.0,2013,TRUE,Riverside,33,34.001745,-117.302057,FALSE,Palmyrita Fire,,2013-06-14T13:47:00Z
136,40.0,2013,TRUE,Riverside,33,33.655638,-116.161201,TRUE,54 Fire,65.0,2013-05-16T13:48:00Z
137,38.0,2013,TRUE,El Dorado,9,38.89555,-120.84716,FALSE,Empire Fire,,2013-08-24T14:54:00Z
138,38.0,2013,TRUE,Lake,17,39.1591,-122.5906,FALSE,Indian Fire,,2013-08-07T12:35:00Z
139,38.0,2013,TRUE,Alameda,1,37.74241,-121.86216,FALSE,Fallon Fire,,2013-07-06T13:09:00Z
140,35.0,2013,TRUE,Fresno,10,36.763367000000000,-119.55824400000000,FALSE,Michelle Fire,,2013-06-13T15:54:00Z
141,35.0,2013,TRUE,San Luis Obispo,40,35.49864,-120.91375,FALSE,Cottontail Fire,,2013-05-20T15:45:00Z
142,34.0,2013,TRUE,Shasta,45,0.0,0.0,FALSE,Honey Fire,,2013-08-04T18:00:00Z
143,33.0,2013,TRUE,Shasta,45,40.483662,-122.140914,FALSE,Dersch Fire,,2013-11-07T16:10:00Z
144,31.0,2013,TRUE,Calaveras,5,37.965364,-120.69636200000000,FALSE,Chuckwagon Fire,,2013-07-22T12:34:00Z
145,30.0,2013,TRUE,Lake,17,38.9777,-122.68300000000000,TRUE,Lakeshore Fire,,2013-09-15T19:45:00Z
146,30.0,2013,TRUE,Lake,17,38.992330000000000,-122.703193,FALSE,Lake Fire,,2013-06-05T16:05:00Z
147,30.0,2013,FALSE,San Bernardino,36,34.288877,-116.94131100000000,FALSE,Fawnskin Fire,,2013-04-20T17:30:00Z
148,28.0,2013,TRUE,Sonoma,49,38.4229,-122.0437,TRUE,Sonoma-Lake-Napa Unit Lightning Fires,,2013-06-10T00:46:00Z
149,28.0,2013,TRUE,Solano,48,38.4229,-122.0437,TRUE,Sonoma-Lake-Napa Unit Lightning Fires,,2013-06-10T00:46:00Z
150,28.0,2013,TRUE,Lake,17,38.4229,-122.0437,TRUE,Sonoma-Lake-Napa Unit Lightning Fires,,2013-06-10T00:46:00Z
151,28.0,2013,TRUE,Colusa,6,38.4229,-122.0437,TRUE,Sonoma-Lake-Napa Unit Lightning Fires,,2013-06-10T00:46:00Z
152,27.0,2013,TRUE,Shasta,45,40.473356,-122.48259000000000,FALSE,Cloverdale Fire,,2013-08-14T15:37:00Z
153,25.0,2013,TRUE,San Diego,37,32.612773,-116.70733500000000,FALSE,Flume Fire,,2013-07-28T09:43:00Z
154,25.0,2013,TRUE,Lake,17,38.980580000000000,-122.81796000000000,FALSE,Mount Fire,,2013-06-20T14:29:00Z
155,25.0,2013,TRUE,Riverside,33,33.96201,-116.90721300000000,FALSE,Cherry Fire,,2013-05-20T13:47:00Z
156,23.0,2013,TRUE,Lake,17,38.9289,-122.5818,FALSE,Dam Fire,,2013-11-23T14:17:00Z
157,15.0,2013,TRUE,Mendocino,23,0.0,0.0,FALSE,Refuse Fire,,2013-12-30T11:00:00Z
158,15.0,2013,TRUE,Riverside,33,33.94528,-117.09306000000000,FALSE,Gilman Fire,,2013-07-19T17:31:00Z
159,15.0,2013,TRUE,Madera,20,0.0,0.0,FALSE,Ranger Fire,,2013-05-12T13:02:00Z
160,0.0,2013,FALSE,Humboldt,12,41.333,-123.376,FALSE,Orleans Complex,,2013-08-03T08:00:00Z
161,0.0,2013,FALSE,Riverside,33,33.99647,-116.84137,FALSE,Hathaway Fire,,2013-06-09T12:30:00Z
162,97717.0,2014,TRUE,El Dorado,9,38.805437,-120.62971400000000,TRUE,King Fire,,2014-09-13T16:32:00Z
163,50042.0,2014,FALSE,Siskiyou,47,0.0,0.0,FALSE,July Complex,,2014-08-02T09:00:00Z
164,39736.0,2014,TRUE,Shasta,45,40.901000000000000,-121.368,FALSE,Bald Fire,,2014-07-30T20:15:00Z
165,35302.0,2014,TRUE,Siskiyou,47,42.048,-122.345,FALSE,Oregon Gulch Fire (part of the Beaver Complex),,2014-07-30T23:00:00Z
166,32496.0,2014,FALSE,Siskiyou,47,0.0,0.0,FALSE,Beaver Fire,,2014-07-30T00:00:00Z
167,32416.0,2014,TRUE,Shasta,45,40.72,-121.56200000000000,TRUE,Eiler Fire,78.0,2014-07-31T18:04:00Z
168,14416.0,2014,FALSE,San Diego,37,0.0,0.0,FALSE,Pulgas Fire,,2014-05-15T14:45:00Z
169,13838.0,2014,FALSE,Madera,20,0.0,0.0,FALSE,French Fire,,2014-07-28T05:45:00Z
170,13153.0,2014,TRUE,Modoc,25,41.1336,-121.2144,TRUE,Day Fire,297.0,2014-07-30T19:01:00Z
171,12661.0,2014,TRUE,Shasta,45,40.4314,-122.75078800000000,TRUE,Bully Fire,,2014-07-11T15:37:00Z
172,12536.0,2014,TRUE,Mendocino,23,0.0,0.0,TRUE,Lodge Lightning Complex,,2014-07-30T06:27:00Z
173,6488.0,2014,TRUE,Yolo,57,38.512,-122.104,TRUE,Monticello Fire,87.0,2014-07-04T21:32:00Z
174,6258.0,2014,FALSE,Shasta,45,41.141000000000000,-122.805,FALSE,Coffee Fire,,2014-07-30T20:30:00Z
175,5503.0,2014,TRUE,Siskiyou,47,41.682000000000000,-122.12700000000000,FALSE,Little Deer Fire,,2014-07-31T17:45:00Z
176,5367.0,2014,FALSE,San Diego,37,33.3529,-117.28488900000000,TRUE,Tomahawk Fire,,2014-05-14T09:45:00Z
177,4840.0,2014,FALSE,Monterey,27,0.0,0.0,FALSE,Stoney Fire,,2014-06-19T15:14:00Z
